Name,Address,Postcode,Telephone,Email,"Day and time","Changes to service",Location
"Old Farm Court","311 Colinton Road","EH13 0NS","0131 529 5683",access.services@edinburgh.gov.uk,"Wed 10.15 - 11.15am",,"55.9088699,-3.2504048000000694"
"Parkgrove Street","87 Parkgrove Street","EH7 7NT","0131 529 5683",access.services@edinburgh.gov.uk,"Tuesday, 2.30 - 3.30pm",,"55.95934594750127,-3.289197563972266"
"Parkside, Newbridge","1 Parkside","EH28 8ST","0131 529 5683",access.services@edinburgh.gov.uk,"Wednesday, 5.30 - 5.45pm",,"55.93799609356377,-3.4093847632293546"
"Prestonfield Avenue","28 Prestonfield Avenue","EH16 5EH ","0131 529 5683",access.services@edinburgh.gov.uk,"Fri 12.15pm - 12.45pm",,"55.933386,-3.161042"
"Ratho Station, Station Road","Station Road","EH28 8PZ","0131 529 5683",access.services@edinburgh.gov.uk,"Monday, 11.45 am - 12.15pm",,"55.9357620028559,-3.390634059906006"
"Redhall Drive","67 - 69 Redhall Drive","EH14 2HG","0131 529 5683",access.services@edinburgh.gov.uk,"Wednesday, 4.00pm - 4.40pm",,"55.921514777041835,-3.2580619365234043"
"Rosebery Avenue Dental Surgery, South Queensferry","Rosebery Avenue","EH30 9JG ","0131 529 5683",access.services@edinburgh.gov.uk,"1.45 - 2.30pm on Thursdays",,"55.98594607269449,-3.3956561786040993"
"Roseburn Crescent","2 Roseburn Crescent","EH12 5NZ","0131 529 5683",access.services@edinburgh.gov.uk,"Wed 6.30pm - 7.15pm",,"55.94396,-3.237829"
"Saughton Crescent (Bright Sparks Nursery)","58 Saughton Crescent ","EH12 5SP","0131 529 5683",access.services@edinburgh.gov.uk,"Fri 2.20 - 2.45pm",,"55.9435035,-3.255395599999929"
"Saughton Mains Terrace","4 Saughton Mains Terrace","EH11 3NU","0131 529 5683",access.services@edinburgh.gov.uk,"Friday, 10.15 - 10.30am",,"55.932462975927216,-3.267180445368922"
"South Gyle Gardens","110 South Gyle Gardens","EH12 7RZ ","0131 529 5683",access.services@edinburgh.gov.uk,"Mon 10.00am - 10.15am",,"55.93722525538364,-3.299822477523776"
"Southhouse Avenue SH","47 - 49 Southhouse Avenue","EH17 8BZ ","0131 529 5683",access.services@edinburgh.gov.uk,"3.25 - 3.45pm on Mondays",,"55.901551,-3.155276"
"Southhouse Road","35 Southhouse Road","EH17 8EW ","0131 529 5683",access.services@edinburgh.gov.uk,"Monday, 4.15 - 4.25pm",,"55.898418352755385,-3.157274804893518"
"Southhouse Square","1 Southhouse Square","EH17 8DN ","0131 529 5683",access.services@edinburgh.gov.uk,"3.50 - 4.10pm on Mondays",,"55.899091,-3.154147"
"Stuart Square","Stuart Square","EH12 8UU","0131 529 5683",access.services@edinburgh.gov.uk,"Tuesday, 6.15 - 7.00pm",,"55.9497644850963,-3.3033439927291965"
"The Queens Retreat, South Queensferry","6 Scotstoun Grove","EH30 9PH","0131 529 5683",access.services@edinburgh.gov.uk,"1.10 - 1.40pm on Thursdays",,"55.98336688852154,-3.3920030085982944"
"Turnhouse Road","85 Turnhouse Road",EH12,"0131 529 5683",access.services@edinburgh.gov.uk,"Tuesdays, 4.50 - 5.15pm",,"55.94157171054124,-3.3161852356715826"
"Waverley Court","4 East Market St","EH8 8BG","0131 529 5683",access.services@edinburgh.gov.uk,"Wednesday, 12.00 - 1.15pm",,"55.95152569835076,-3.1843457001389197"
"Whitehouse Road, Barnton","186 Whitehouse Road","EH4 6DB","0131 529 5683",access.services@edinburgh.gov.uk,"Thursday, 10.55 - 11.10am",,"55.96276193453944,-3.306785423278825"
"Woodhall Terrace (corner of Baberton Crescent)",,"EH14 5DN","0131 529 5683",access.services@edinburgh.gov.uk,"Mondays, 2.25 - 2.50pm","Moved from Baberton Avenue due to building work","55.90624733501022,-3.2825732231140137"
"Zetland Place","5 Zetland Place","EH5 3HU","0131 529 5683",access.services@edinburgh.gov.uk,"2.10 - 2.50pm on Wednesdays",,"55.975814,-3.208848"
